GEO_ID,NAME,NAICS2022,NAICS2022_LABEL,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,QDESC,QDESC_LABEL,BUSCHAR,BUSCHAR_LABEL,YEAR,FIRMPDEMP,FIRMPDEMP_PCT,RCPPDEMP,RCPPDEMP_PCT,EMP,EMP_PCT,PAYANN,PAYANN_PCT,FIRMPDEMP_S,FIRMPDEMP_PCT_S,RCPPDEMP_S,RCPPDEMP_PCT_S,EMP_S,EMP_PCT_S,PAYANN_S,PAYANN_PCT_S
Geographic identifier code,Geographic Area Name,2022 NAICS code,Meaning of NAICS code,Sex code,Meaning of Sex code,Ethnicity code,Meaning of Ethnicity code,Race code,Meaning of Race code,Veteran code,Meaning of Veteran code,Question description code,Meaning of Question description code,Business characteristic code,Meaning of Business characteristic code,Year,Number of employer firms,Percent of employer firms (%),"Sales, value of shipments, or revenue of employer firms ($1,000)","Percent of sales, value of shipments, or revenue of employer firms (%)",Number of employees,Percent of employees (%),"Annual payroll ($1,000)",Percent of annual payroll (%),Relative standard error of employer firms (%),Standard error of percent of employer firms (%),"Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Standard error of percent of sales, value of shipments, or revenue of employer firms (%)",Relative standard error of number of employees (%),Standard error of percent of employees (%),Relative standard error of annual payroll (%),Standard error of percent of annual payroll (%)
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,A1,All firms,2022,5886,X,60177694,X,163064,X,11114542,X,6.5,X,2.5,X,4.4,X,3.9,X
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ,1 person,2022,1252,43.1,2580780,7.4,11557,11.4,571691,7.5,7.4,18.8,14.3,57,12.1,63.6,10.2,54.9
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ01,2 to 4 people,2022,1063,36.6,3567845,10.3,14180,14,721430,9.5,7.7,11.1,8.4,59.1,12.9,80.3,11.4,69.7
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ02,5 to 10 people,2022,S,S,S,S,500 to 999 employees,S,S,S,S,S,S,S,S,S,S,S
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ03,11 or more people,2022,129,4.4,6079893,17.5,20625,20.3,1466558,19.3,20.6,4.3,3.1,23.3,4.7,28.3,5.5,26.8
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ04,"Business owned by a parent company, estate, Trust, or other entity",2022,337,11.6,9938114,28.6,31293,30.8,2475336,32.5,8.6,10.1,5.1,6.5,3.1,23.6,5.9,6.8
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BX,Unknown number of owners,2022,91,3.1,12124535,34.9,23086,22.8,2314039,30.4,12,2.9,2.7,43.5,3.9,27.5,5.8,38.2
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BY,Total reporting,2022,2907,100,34736249,100,101442,100,7614894,100,5.4,0,2.9,0,3.1,0,3.9,0
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BZ,Item not reported,2022,2,X,107982,X,1440,X,26432,X,106.3,X,6.7,X,6.8,X,6.6,X
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,A1,All firms,2022,5886,X,60177694,X,163064,X,11114542,X,6.5,X,2.5,X,4.4,X,3.9,X
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BM,Family-owned,2022,724,30,1901017,26.9,9299,34.6,444023,30.7,12.3,3.3,9.3,20.6,10.6,11.8,9.2,22.6
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BN,Not family-owned,2022,1686,70,5174965,73.1,17587,65.4,1003026,69.3,6.7,3.4,12.9,20.8,11.3,11.9,13.5,22.8
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BO,Total reporting,2022,2410,100,7075982,100,26886,100,1447048,100,6.2,0,10.1,0,9.6,0,10.2,0
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BP,Item not reported,2022,S,S,S,S,100 to 249 employees,S,S,S,S,S,S,S,S,S,S,S
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,NB,Not applicable,2022,486,X,27633175,X,75856,X,6184784,X,6.7,X,2,X,2.8,X,4.4,X
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,A1,All firms,2022,5886,X,60177694,X,163064,X,11114542,X,6.5,X,2.5,X,4.4,X,3.9,X
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,LZ,Jointly owned and equally operated by spouses,2022,305,12.7,637675,9,3766,14,192784,13.3,20.7,2.5,13.8,5.3,16,3.4,12.4,9.9
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,MA,Jointly owned but primarily operated by male spouse,2022,251,10.4,603455,8.5,2463,9.2,124287,8.6,15.1,1.4,19.7,4.4,26,7.6,21.8,5.5
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,MB,Jointly owned but primarily operated by female spouse,2022,91,3.8,75251,1.1,300,1.1,9882,0.7,35.2,1.5,23.9,0.4,46,1.7,35.3,0.9
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,MC,Not jointly owned by spouses,2022,1763,73.2,5759601,81.4,20356,75.7,1120096,77.4,6.7,2,12.5,5.2,10.3,10.1,12.6,6.8
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,MD,Total reporting,2022,2410,100,7075982,100,26886,100,1447048,100,6.2,0,10.1,0,9.6,0,10.2,0
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,ME,Item not reported,2022,S,S,S,S,100 to 249 employees,S,S,S,S,S,S,S,S,S,S,S
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,MF,Not applicable,2022,486,X,27633175,X,75856,X,6184784,X,6.7,X,2,X,2.8,X,4.4,X
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B06,OPFRAN,A1,All firms,2022,5886,X,60177694,X,163064,X,11114542,X,6.5,X,2.5,X,4.4,X,3.9,X
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B06,OPFRAN,LV,All or part of the business operated as a franchise,2022,157,5.4,2671315,7.7,6648,6.6,315013,4.1,16.4,2.9,14.7,17.4,8.5,6.5,9.1,6.9
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B06,OPFRAN,LW,Did not operate as a franchise,2022,2750,94.6,32009732,92.3,94598,93.4,7277247,95.9,5.1,3.6,2.4,21.6,2.9,8,4,8.6
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B06,OPFRAN,LX,Total reporting,2022,2907,100,34681047,100,101246,100,7592260,100,5.4,0,2.9,0,3.1,0,3.9,0
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B06,OPFRAN,LY,Item not reported,2022,3,X,163185,X,1636,X,49067,X,105.1,X,7,X,6.8,X,7,X
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B14,CUST,A1,All firms,2022,5886,X,60177694,X,163064,X,11114542,X,6.5,X,2.5,X,4.4,X,3.9,X
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B14,CUST,IB,Federal government,2022,102,3.5,4724342,16.2,5968,6.7,429896,7.2,23.1,1.2,5.5,34.2,5.3,11.5,5,11.7
E600000US0401312000,"Chandler city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B14,CUST,IC,"State and local government, including school districts, transportation authorities, etc.",2022,254,8.7,5770041,19.8,13933,15.6,1026750,17.1,20.2,2,7.3,15.6,10.5,15.7,13,24.4
