GEO_ID,NAME,NAICS2022,NAICS2022_LABEL,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,QDESC,QDESC_LABEL,BUSCHAR,BUSCHAR_LABEL,YEAR,FIRMPDEMP,FIRMPDEMP_PCT,RCPPDEMP,RCPPDEMP_PCT,EMP,EMP_PCT,PAYANN,PAYANN_PCT,FIRMPDEMP_S,FIRMPDEMP_PCT_S,RCPPDEMP_S,RCPPDEMP_PCT_S,EMP_S,EMP_PCT_S,PAYANN_S,PAYANN_PCT_S
Geographic identifier code,Geographic Area Name,2022 NAICS code,Meaning of NAICS code,Sex code,Meaning of Sex code,Ethnicity code,Meaning of Ethnicity code,Race code,Meaning of Race code,Veteran code,Meaning of Veteran code,Question description code,Meaning of Question description code,Business characteristic code,Meaning of Business characteristic code,Year,Number of employer firms,Percent of employer firms (%),"Sales, value of shipments, or revenue of employer firms ($1,000)","Percent of sales, value of shipments, or revenue of employer firms (%)",Number of employees,Percent of employees (%),"Annual payroll ($1,000)",Percent of annual payroll (%),Relative standard error of employer firms (%),Standard error of percent of employer firms (%),"Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Standard error of percent of sales, value of shipments, or revenue of employer firms (%)",Relative standard error of number of employees (%),Standard error of percent of employees (%),Relative standard error of annual payroll (%),Standard error of percent of annual payroll (%)
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,A1,All firms,2022,1255,X,3204109,X,14763,X,577884,X,7.4,X,20.1,X,6,X,8,X
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ,1 person,2022,234,37.8,246895,13.2,2242,24.8,93015,30,18.4,17.8,21.6,40.9,22.3,45.6,20.7,45.3
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ01,2 to 4 people,2022,S,S,S,S,"1,000 to 2,499 employees",S,S,S,S,S,S,S,S,S,S,S
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ02,5 to 10 people,2022,S,S,S,S,20 to 99 employees,S,S,S,S,S,S,S,S,S,S,S
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ03,11 or more people,2022,30,4.8,396407,21.2,1437,15.9,44779,14.4,15.6,0.8,3.1,0.6,3.1,0.4,3.7,0.4
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ04,"Business owned by a parent company, estate, Trust, or other entity",2022,85,13.7,404069,21.6,1926,21.3,55349,17.8,28.8,10.3,5.4,34.7,19.3,11.2,18.8,14.7
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BX,Unknown number of owners,2022,29,4.7,373074,19.9,1277,14.2,36843,11.9,23.6,4.9,1.2,26.8,0.6,18.7,0.1,15.9
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BY,Total reporting,2022,619,100,1872384,100,9024,100,310100,100,9.8,0,11.8,0,9,0,8.5,0
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BZ,Item not reported,2022,2,X,5476,X,45,X,1162,X,20.7,X,4.9,X,10.3,X,6.2,X
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,A1,All firms,2022,1255,X,3204109,X,14763,X,577884,X,7.4,X,20.1,X,6,X,8,X
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BM,Family-owned,2022,S,S,S,S,"1,000 to 2,499 employees",S,S,S,S,S,S,S,S,S,S,S
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BN,Not family-owned,2022,270,50.8,319919,43.5,2942,59,122114,64.9,16.3,6.1,15.4,35.8,16.5,40.8,15.1,40.2
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BO,Total reporting,2022,531,100,735838,100,4984,100,188287,100,11.4,0,30.1,0,16.2,0,13.9,0
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,NB,Not applicable,2022,91,X,1142023,X,4085,X,122975,X,4,X,0.3,X,0.3,X,0.9,X
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,A1,All firms,2022,1255,X,3204109,X,14763,X,577884,X,7.4,X,20.1,X,6,X,8,X
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,LZ,Jointly owned and equally operated by spouses,2022,S,S,S,S,500 to 999 employees,S,S,S,S,S,S,S,S,S,S,S
E600000US0400058150,"Queen Creek town, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B03,SPOUSES,MA,Jointly owned but primarily operated by male spouse,2022,62,11.7,52932,7.2,448,9,21190,11.3,35.9,4,37.7,4.1,49.5,11.9,48.8,12.9
