GEO_ID,NAME,NAICS2022,NAICS2022_LABEL,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,QDESC,QDESC_LABEL,BUSCHAR,BUSCHAR_LABEL,YEAR,FIRMPDEMP,FIRMPDEMP_PCT,RCPPDEMP,RCPPDEMP_PCT,EMP,EMP_PCT,PAYANN,PAYANN_PCT,FIRMPDEMP_S,FIRMPDEMP_PCT_S,RCPPDEMP_S,RCPPDEMP_PCT_S,EMP_S,EMP_PCT_S,PAYANN_S,PAYANN_PCT_S
Geographic identifier code,Geographic Area Name,2022 NAICS code,Meaning of NAICS code,Sex code,Meaning of Sex code,Ethnicity code,Meaning of Ethnicity code,Race code,Meaning of Race code,Veteran code,Meaning of Veteran code,Question description code,Meaning of Question description code,Business characteristic code,Meaning of Business characteristic code,Year,Number of employer firms,Percent of employer firms (%),"Sales, value of shipments, or revenue of employer firms ($1,000)","Percent of sales, value of shipments, or revenue of employer firms (%)",Number of employees,Percent of employees (%),"Annual payroll ($1,000)",Percent of annual payroll (%),Relative standard error of employer firms (%),Standard error of percent of employer firms (%),"Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Standard error of percent of sales, value of shipments, or revenue of employer firms (%)",Relative standard error of number of employees (%),Standard error of percent of employees (%),Relative standard error of annual payroll (%),Standard error of percent of annual payroll (%)
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,A1,All firms,2022,12015,X,81131470,X,210385,X,14022755,X,5.1,X,5.7,X,2.7,X,2.2,X
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ,1 person,2022,3080,54.2,5438342,10.4,16839,16.2,1015292,13.5,6.4,15.9,10.3,59.8,11.1,63.8,6.9,64.8
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ01,2 to 4 people,2022,1863,32.8,8257380,15.7,21551,20.7,1403405,18.7,5.2,5.5,19.2,104.1,5.3,57.1,4.5,70.3
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ02,5 to 10 people,2022,50,0.9,128991,0.2,933,0.9,53042,0.7,34.7,0.6,11.8,0.2,9.7,1,4.6,0.9
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ03,11 or more people,2022,177,3.1,12699124,24.2,21801,20.9,1742783,23.2,14.4,3,2.8,31.9,9.1,16.3,5,22
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ04,"Business owned by a parent company, estate, Trust, or other entity",2022,399,7,10133281,19.3,29370,28.2,2080722,27.7,5.5,6.7,2.4,18.9,1.9,34.8,2.2,33
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BX,Unknown number of owners,2022,114,2,15835905,30.2,13663,13.1,1220184,16.2,16,2,3.4,39.6,2.4,17.3,2.9,21.1
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BY,Total reporting,2022,5682,100,52493025,100,104157,100,7515429,100,3.8,0,3.6,0,2.2,0,1.6,0
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BZ,Item not reported,2022,2,X,60270,X,216,X,13100,X,106.3,X,6.9,X,12.7,X,7,X
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,A1,All firms,2022,12015,X,81131470,X,210385,X,14022755,X,5.1,X,5.7,X,2.7,X,2.2,X
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BM,Family-owned,2022,1364,26.7,5178842,29.7,13639,30.3,773260,26.8,9.4,2.6,32.6,26,14.3,13.6,12.2,13.1
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BN,Not family-owned,2022,3749,73.3,12247104,70.3,31431,69.7,2107090,73.2,5.7,2.6,5.7,26.4,7.8,13.8,5.5,13.3
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BO,Total reporting,2022,5113,100,17425946,100,45070,100,2880350,100,4,0,9.6,0,5,0,3.7,0
E600000US0401365000,"Scottsdale city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B02,FAMOWN,BP,Item not reported,2022,19,X,44269,X,349,X,21774,X,34.4,X,9,X,19.5,X,8.1,X
