\,NAME,NAICS2022,NAICS2022_LABEL,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,QDESC,QDESC_LABEL,BUSCHAR,BUSCHAR_LABEL,YEAR,FIRMPDEMP,FIRMPDEMP_PCT,RCPPDEMP,RCPPDEMP_PCT,EMP,EMP_PCT,PAYANN,PAYANN_PCT,FIRMPDEMP_S,FIRMPDEMP_PCT_S,RCPPDEMP_S,RCPPDEMP_PCT_S,EMP_S,EMP_PCT_S,PAYANN_S,PAYANN_PCT_S
Geographic identifier code,Geographic Area Name,2022 NAICS code,Meaning of NAICS code,Sex code,Meaning of Sex code,Ethnicity code,Meaning of Ethnicity code,Race code,Meaning of Race code,Veteran code,Meaning of Veteran code,Question description code,Meaning of Question description code,Business characteristic code,Meaning of Business characteristic code,Year,Number of employer firms,Percent of employer firms (%),"Sales, value of shipments, or revenue of employer firms ($1,000)","Percent of sales, value of shipments, or revenue of employer firms (%)",Number of employees,Percent of employees (%),"Annual payroll ($1,000)",Percent of annual payroll (%),Relative standard error of employer firms (%),Standard error of percent of employer firms (%),"Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Standard error of percent of sales, value of shipments, or revenue of employer firms (%)",Relative standard error of number of employees (%),Standard error of percent of employees (%),Relative standard error of annual payroll (%),Standard error of percent of annual payroll (%)
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,A1,All firms,2022,1690,X,6135899,X,24038,X,974031,X,12.5,X,6,X,12,X,12.6,X
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ,1 person,2022,386,44.6,231426,5.8,1994,15.3,64798,12.2,18.9,22.6,19.3,77.3,24.5,75.6,19,59.5
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ01,2 to 4 people,2022,346,40,914890,23,3183,24.5,149246,28.2,20.6,19.3,9.8,112.4,19.6,85.3,19.6,98.6
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ02,5 to 10 people,2022,5,0.6,10084,0.3,66,0.5,2680,0.5,65.3,0.7,26.6,0.8,22.9,0.3,9.2,0.7
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ03,11 or more people,2022,43,5,1356997,34.1,3414,26.3,139160,26.3,12.1,0.6,4.5,1.2,3.8,0.9,4,0.9
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BQ04,"Business owned by a parent company, estate, Trust, or other entity",2022,64,7.4,561328,14.1,2123,16.3,70548,13.3,10.8,4.8,4.3,9.4,2.8,10.9,2.9,8.5
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BX,Unknown number of owners,2022,24,2.8,910119,22.8,2211,17,103158,19.5,2.3,0.1,0,0.2,0.2,0,1.1,0.1
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BY,Total reporting,2022,866,100,3984845,100,12991,100,529591,100,12.9,0,2.8,0,7,0,6.8,0
E600000US0401371510,"Surprise city, Arizona",00,Total for all sectors,001,Total,001,Total,00,Total,001,Total,B01,OWNRNUM,BZ,Item not reported,2022,1,X,13647,X,78,X,2287,X,105,X,7.6,X,16,X,8.1,X
